"state","avm"
"AL",65046
"AK",4848
"AZ",60586
"AR",33493
"CA",329534
"CO",46968
"CT",30941
"DE",9308
"DC",3527
"FL",192702
"GA",109355
"HI",10099
"ID",15980
"IL",105297
"IN",78311
"IA",31641
"KS",30208
"KY",46996
"LA",47758
"ME",14129
"MD",56688
"MA",56311
"MI",95132
"MN",56974
"MS",38758
"MO",69458
"MT",12033
"NE",19322
"NV",24649
"NH",12903
"NJ",74530
"NM",25086
"NY",129737
"NC",105213
"ND",10100
"OH",112767
"OK",47999
"OR",33706
"PA",98628
"RI",7775
"SC",48986
"SD",9122
"TN",71067
"TX",244525
"UT",27005
"VT",7116
"VA",80767
"WA",57211
"WV",19232
"WI",59486
"WY",9309
